Measurement,Well,Group,Time,OCR,ECAR,PER,plate_id,Protocol,Project,Interval,LOCR,LECAR,Code,sample_id,is.out.p
1,A02,Oligomycin-DB2#9A_2,1,47.85886655505953,36.24867529749724,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Olig,DB2,Int1,3.8682563996895443,3.5904028371156356,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,A03,FCCP-DB2#9A_2,1,49.282706910275124,38.36735335921824,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,DB2,Int1,3.8975732469024895,3.647206925054681,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,A04,FCCP-DB2#9A_2,1,50.790230885904926,38.24189517862504,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,DB2,Int1,3.92770403069581,3.6439316470656262,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,A05,Glycolysis-DB2#9A_2,1,51.20268986712703,41.29723502868194,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Glyc,DB2,Int1,3.935792067132795,3.7207955492677747,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,A06,Glycolysis-DB2#9A_2,1,48.22136069098792,38.63979904324284,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Glyc,DB2,Int1,3.8758020907495,3.65428280858656,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,A07,Glycolysis-HF#31A,1,94.21280242751082,45.94144215304584,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Glyc,HF,Int1,4.545556079221603,3.8273675888676175,31A,31A-HF | 13-08-2018,FALSE
1,A08,Glycolysis-HF#31A,1,94.34637864542903,50.74120809245804,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Glyc,HF,Int1,4.546972888941529,3.9267383633567143,31A,31A-HF | 13-08-2018,FALSE
1,A09,FCCP-HF#31A,1,87.43324304149942,50.231300065262644,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,HF,Int1,4.470875565510697,3.916638339673931,31A,31A-HF | 13-08-2018,FALSE
1,A10,FCCP-HF#31A,1,94.50996460194823,47.46961991250844,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,HF,Int1,4.548705274463971,3.860089925632255,31A,31A-HF | 13-08-2018,FALSE
1,A11,Oligomycin-HF#31A,1,90.37380117396502,48.16404590978094,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Olig,HF,Int1,4.50395441537258,3.8746128072265313,31A,31A-HF | 13-08-2018,FALSE
1,B01,Oligomycin-DB2#9A_2,1,37.50905744747092,36.241550500386744,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Olig,DB2,Int1,3.624582435744782,3.590206264486567,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,B02,Oligomycin-DB2#9A_2,1,51.14502657138803,35.85689242083744,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Olig,DB2,Int1,3.9346652554393478,3.5795358057726463,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,B03,FCCP-DB2#9A_2,1,47.24689468354133,40.69817246410004,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,DB2,Int1,3.855386930796781,3.7061831888384327,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,B04,FCCP-DB2#9A_2,1,55.247758626737024,35.24935890352074,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,DB2,Int1,4.011827771733101,3.5624473419587264,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,B05,Glycolysis-DB2#9A_2,1,48.84853179656683,34.08269220246344,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Glyc,DB2,Int1,3.8887243226956025,3.528789695392209,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,B06,Glycolysis-DB2#9A_2,1,48.95616731085232,36.86507919361514,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Glyc,DB2,Int1,3.890925353090286,3.6072647396453323,9A_2,9A_2-DB2 | 13-08-2018,FALSE
1,B08,Glycolysis-HF#31A,1,95.07781197850203,47.23984332136734,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Glyc,HF,Int1,4.554695629800847,3.855237674671827,31A,31A-HF | 13-08-2018,FALSE
1,B09,FCCP-HF#31A,1,92.79555663384153,50.58811935992834,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,HF,Int1,4.5303987575449725,3.9237167534663646,31A,31A-HF | 13-08-2018,FALSE
1,B10,FCCP-HF#31A,1,94.96458458642853,44.90572921305594,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,FCCP,HF,Int1,4.55350402826858,3.804565386008007,31A,31A-HF | 13-08-2018,FALSE
1,B11,Oligomycin-HF#31A,1,87.53357353946483,46.01057818128644,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Olig,HF,Int1,4.4720224173643555,3.8288713305149895,31A,31A-HF | 13-08-2018,FALSE
1,B12,Oligomycin-HF#31A,1,80.17684035463623,38.40622324234364,0,PBMC-DB2#9A_2+HF#31A 13-08-2018,Olig,HF,Int1,4.3842346995363695,3.648219510065493,31A,31A-HF | 13-08-2018,FALSE
